record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
934808,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1103179,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
407238,2001,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
263827,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
117658,1993,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,11 to 20 cigarettes,NA
321870,1999,Sometimes wore a helmet,NA,Yes,11 or 12 years old,1 or 2 days,Less than 1 cigarette,NA
180867,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
115583,1993,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
763955,2007,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189066,1995,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
501813,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
182326,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
499601,2003,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
260499,1997,Never wore a helmet,NA,Yes,13 or 14 years old,6 to 9 days,2 to 5 cigarettes,NA
402413,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
400897,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
117210,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
325823,1999,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,2 to 5 cigarettes,NA
112419,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
637048,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
923162,2009,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
927919,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
123132,1993,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
30643,1991,Never wore a helmet,NA,Yes,8 years old or younger,3 to 5 days,2 to 5 cigarettes,NA
629656,2005,Most of the time wore a helmet,NA,NA,Never smoked a cigarette,0 days,NA,NA
256912,1997,Did not ride a bicycle,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403803,2001,Rarely wore a helmet,NA,Yes,9 or 10 years old,NA,NA,NA
632772,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
325085,1999,Most of the time wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
1103675,2011,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
259013,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
42040,1991,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
327040,1999,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
398854,2001,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
191023,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189244,1995,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
630177,2005,Most of the time wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
923645,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
31908,1991,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
107793,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
331699,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
637935,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1316699,2013,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,FALSE
111940,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
330376,1999,Never wore a helmet,NA,No,NA,0 days,NA,NA
1103565,2011,Never wore a helmet,NA,Yes,13 or 14 years old,10 to 19 days,2 to 5 cigarettes,FALSE
265494,1997,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
397188,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
641072,2005,Did not ride a bicycle,NA,NA,NA,0 days,Did not smoke cigarettes,NA
407618,2001,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
637397,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1108274,2011,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,NA,FALSE
1100352,2011,NA,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
937584,2009,Did not ride a bicycle,NA,Yes,NA,0 days,Did not smoke cigarettes,TRUE
1306123,2013,Never wore a helmet,0 days,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,FALSE
933677,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
397060,2001,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
501141,2003,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
502310,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
107060,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
31265,1991,NA,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
33687,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
762280,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
188490,1995,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
929408,2009,Rarely wore a helmet,NA,Yes,13 or 14 years old,NA,2 to 5 cigarettes,FALSE
761011,2007,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
41238,1991,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
31233,1991,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
396767,2001,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
760679,2007,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
924609,2009,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
326873,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
929911,2009,Did not ride a bicycle,NA,Yes,13 or 14 years old,All 30 days,6 to 10 cigarettes,TRUE
765788,2007,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
773640,2007,Did not ride a bicycle,NA,Yes,15 or 16 years old,All 30 days,2 to 5 cigarettes,NA
328723,1999,Did not ride a bicycle,NA,Yes,17 years old or older,All 30 days,6 to 10 cigarettes,NA
259403,1997,Did not ride a bicycle,NA,NA,NA,NA,NA,NA
40972,1991,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
35503,1991,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
762954,2007,Never wore a helmet,NA,Yes,15 or 16 years old,All 30 days,2 to 5 cigarettes,NA
406619,2001,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
326577,1999,Never wore a helmet,NA,Yes,9 or 10 years old,All 30 days,11 to 20 cigarettes,NA
399891,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
508741,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
922250,2009,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
639850,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
502989,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
107217,1993,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1303929,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
503705,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
262715,1997,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1310622,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1304226,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
636338,2005,Never wore a helmet,NA,NA,15 or 16 years old,1 or 2 days,NA,NA
189841,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
761561,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
188048,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
110182,1993,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
632520,2005,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
501265,2003,Rarely wore a helmet,NA,NA,NA,NA,NA,NA
398045,2001,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
766841,2007,Did not ride a bicycle,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
190513,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
321960,1999,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
34252,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
402743,2001,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
181966,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
929393,2009,Never wore a helmet,NA,Yes,15 or 16 years old,10 to 19 days,2 to 5 cigarettes,FALSE
634391,2005,Most of the time wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
500345,2003,Never wore a helmet,NA,Yes,13 or 14 years old,NA,NA,NA
42269,1991,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
330276,1999,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1107752,2011,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,TRUE
401710,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
405534,2001,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1314997,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
116365,1993,Never wore a helmet,NA,Yes,13 or 14 years old,1 or 2 days,1 cigarette,NA
333680,1999,Never wore a helmet,NA,Yes,11 or 12 years old,6 to 9 days,Less than 1 cigarette,NA
927893,2009,Rarely wore a helmet,NA,Yes,11 or 12 years old,NA,NA,FALSE
189694,1995,Did not ride a bicycle,NA,Yes,13 or 14 years old,1 or 2 days,1 cigarette,NA
325745,1999,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
110029,1993,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
117455,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1103827,2011,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
499586,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
331839,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1310248,2013,Did not ride a bicycle,0 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
396423,2001,Never wore a helmet,NA,Yes,NA,0 days,Did not smoke cigarettes,NA
402271,2001,Did not ride a bicycle,NA,Yes,15 or 16 years old,All 30 days,11 to 20 cigarettes,NA
933764,2009,Did not ride a bicycle,NA,Yes,11 or 12 years old,3 to 5 days,2 to 5 cigarettes,FALSE
764332,2007,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
40467,1991,Never wore a helmet,NA,Yes,15 or 16 years old,10 to 19 days,6 to 10 cigarettes,NA
330038,1999,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
402851,2001,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
764492,2007,Did not ride a bicycle,NA,NA,NA,NA,NA,NA
402219,2001,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
269226,1997,Never wore a helmet,NA,Yes,15 or 16 years old,NA,NA,NA
511522,2003,Rarely wore a helmet,NA,Yes,NA,1 or 2 days,NA,NA
1304877,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1094876,2011,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
762671,2007,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
637941,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1315660,2013,Did not ride a bicycle,1 or 2 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
400635,2001,Always wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
260395,1997,Did not ride a bicycle,NA,Yes,15 or 16 years old,20 to 29 days,6 to 10 cigarettes,NA
182064,1995,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
927880,2009,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,TRUE
122282,1993,Sometimes wore a helmet,NA,Yes,9 or 10 years old,NA,NA,NA
185015,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
40020,1991,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
31172,1991,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
326562,1999,Did not ride a bicycle,NA,NA,NA,0 days,Did not smoke cigarettes,NA
183884,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403516,2001,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
510920,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
182001,1995,Never wore a helmet,NA,Yes,11 or 12 years old,1 or 2 days,1 cigarette,NA
35839,1991,Did not ride a bicycle,NA,Yes,17 years old or older,3 to 5 days,2 to 5 cigarettes,NA
632485,2005,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
500412,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
42603,1991,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
401576,2001,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
1304684,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1310505,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
333615,1999,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
762446,2007,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
406182,2001,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
331463,1999,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
401614,2001,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
110035,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1312445,2013,Never wore a helmet,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
769676,2007,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
632965,2005,Always wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
1307186,2013,Sometimes wore a helmet,0 days,Yes,11 or 12 years old,NA,NA,TRUE
630745,2005,Did not ride a bicycle,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
1308430,2013,Did not ride a bicycle,3 to 5 days,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,FALSE
40427,1991,Never wore a helmet,NA,Yes,11 or 12 years old,1 or 2 days,1 cigarette,NA
270653,1997,Never wore a helmet,NA,Yes,15 or 16 years old,NA,NA,NA
930333,2009,Never wore a helmet,NA,NA,NA,NA,NA,FALSE
189294,1995,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403136,2001,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189541,1995,NA,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
502039,2003,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
42521,1991,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1304127,2013,Never wore a helmet,3 to 5 days,NA,NA,0 days,Did not smoke cigarettes,FALSE
189151,1995,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,11 to 20 cigarettes,NA
764392,2007,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
115704,1993,NA,NA,Yes,11 or 12 years old,6 to 9 days,NA,NA
113666,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
260671,1997,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
181884,1995,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
331056,1999,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
267438,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
924342,2009,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
184764,1995,Did not ride a bicycle,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
929012,2009,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
116560,1993,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1314805,2013,Never wore a helmet,0 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
934054,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
773658,2007,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
270806,1997,Did not ride a bicycle,NA,Yes,17 years old or older,0 days,Did not smoke cigarettes,NA
265150,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1312510,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
925263,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
121903,1993,Did not ride a bicycle,NA,Yes,15 or 16 years old,All 30 days,2 to 5 cigarettes,NA
188961,1995,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
769633,2007,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
628876,2005,Never wore a helmet,NA,Yes,Never smoked a cigarette,1 or 2 days,Less than 1 cigarette,NA
923435,2009,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
111621,1993,Never wore a helmet,NA,Yes,8 years old or younger,All 30 days,More than 20 cigarettes,NA
1100234,2011,Did not ride a bicycle,NA,Yes,15 or 16 years old,6 to 9 days,1 cigarette,FALSE
266606,1997,Did not ride a bicycle,NA,Yes,15 or 16 years old,1 or 2 days,1 cigarette,NA
1308428,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
329190,1999,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
770147,2007,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
266758,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189171,1995,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
334590,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
633300,2005,Never wore a helmet,NA,NA,11 or 12 years old,0 days,NA,NA
259086,1997,Did not ride a bicycle,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
505850,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1308796,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
264088,1997,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1312294,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
629902,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
107748,1993,Never wore a helmet,NA,Yes,9 or 10 years old,All 30 days,6 to 10 cigarettes,NA
189607,1995,NA,NA,Yes,13 or 14 years old,6 to 9 days,2 to 5 cigarettes,NA
503283,2003,Sometimes wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
774157,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
399445,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
182264,1995,Did not ride a bicycle,NA,Yes,13 or 14 years old,NA,NA,NA
402441,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
186918,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
186595,1995,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
37460,1991,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
508326,2003,Rarely wore a helmet,NA,Yes,11 or 12 years old,10 to 19 days,2 to 5 cigarettes,NA
402977,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1308892,2013,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
189542,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
928771,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
398731,2001,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
766774,2007,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
401752,2001,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
180973,1995,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
1102952,2011,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
183446,1995,Never wore a helmet,NA,Yes,8 years old or younger,All 30 days,11 to 20 cigarettes,NA
636647,2005,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
769028,2007,Did not ride a bicycle,NA,NA,Never smoked a cigarette,0 days,NA,NA
501990,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
514427,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1306560,2013,Never wore a helmet,0 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
505735,2003,Did not ride a bicycle,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,NA
262503,1997,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,2 to 5 cigarettes,NA
264632,1997,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
115226,1993,Did not ride a bicycle,NA,Yes,11 or 12 years old,NA,NA,NA
635213,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
509356,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1310689,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1303596,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
926900,2009,Did not ride a bicycle,NA,Yes,13 or 14 years old,10 to 19 days,2 to 5 cigarettes,FALSE
1305235,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
266943,1997,Always wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
327693,1999,Never wore a helmet,NA,Yes,17 years old or older,3 to 5 days,Less than 1 cigarette,NA
331639,1999,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1304285,2013,Sometimes wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
638127,2005,Did not ride a bicycle,NA,Yes,13 or 14 years old,3 to 5 days,1 cigarette,NA
113343,1993,Sometimes wore a helmet,NA,Yes,9 or 10 years old,1 or 2 days,Less than 1 cigarette,NA
396182,2001,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
121135,1993,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
335223,1999,Never wore a helmet,NA,Yes,17 years old or older,All 30 days,6 to 10 cigarettes,NA
111520,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
935004,2009,NA,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
