"sid","strain","trt","sex","time","normalized_bdnf_amygdala_pg_mg","normalized_bdnf_cortex_pg_mg","normalized_bdnf_hypothalamus_pg_mg","normalized_cd68_amygdala_pg_mg","normalized_cd68_cortex_pg_mg","normalized_cd68_hypothalamus_pg_mg","normalized_map2_cortex_pg_mg","mirna1","mirna2","learning_outcome","preference_obj1","preference_obj2","time_month"
168,"C3H","+","F","tp1",381.333972875688,929.524168897658,850.9227245497066,502.053288255289,9.943238511764,4041.8918013591096,601.5344153,6.04675,0.582188,6.74,30.421854673852444,69.57814532614755,"1 month"
168,"C3H","+","F","tp2",585.4689749520506,NA,1980.76463920242,414.946729890331,NA,8624.880075886142,NA,0.874001,0.60294,19.19,31.29194630872483,68.70805369127517,"6 months"
168,"C3H","+","F","tp3",NA,1262.3452253716105,NA,NA,35.04134868813768,NA,2498.27993363929,0.276531,0.709925,29.96,50.47755491881567,49.52244508118434,"12 months"
169,"C3H","+","F","tp1",436.246363639471,877.197346780345,1177.851243724363,NA,18.2475797355903,5660.803878178176,688.1376308,6.62129,-1.02276,2.93,50.78680203045685,49.213197969543145,"1 month"
169,"C3H","+","F","tp2",NA,NA,1164.39989477185,NA,NA,5080.262429357368,NA,NA,NA,1.19,82.064128256513,17.935871743486974,"6 months"
169,"C3H","+","F","tp3",NA,1125.2039305845194,NA,NA,13.369758132244549,NA,3102.887403665464,-0.625127,0.366019,6.15,95.33073929961088,4.6692607003891045,"12 months"
170,"C3H","+","F","tp1",645.455830669515,937.56422801864,729.9032177853904,814.9730527448694,15.0118041421451,2317.9886595737185,887.3056703,5.98122,0.924745,1.3,67.47332611721046,32.526673882789545,"1 month"
170,"C3H","+","F","tp2",NA,NA,1173.46602735119,487.05439541395754,NA,3124.76916501893,NA,0.439737,-0.208677,76,32.51908396946565,67.48091603053436,"6 months"
170,"C3H","+","F","tp3",NA,892.1697657475638,NA,NA,41.978041013410795,NA,1162.9114208880728,2.14641,2.16237,100,33.269598470363285,66.73040152963671,"12 months"
171,"C3H","+","F","tp1",315.264871583976,1065.70996100938,1145.1212260026316,557.996081468502,18.5462631541332,3747.541660254643,1016.921909,5.97909,-0.543552,14,22.10488634329694,77.89511365670305,"1 month"
171,"C3H","+","F","tp2",578.8447158170246,NA,1138.19161952143,459.2343409995633,NA,3632.654895352529,NA,1.3258,0.668743,2.44,22.88732394366197,77.11267605633803,"6 months"
171,"C3H","+","F","tp3",NA,703.6056973826209,NA,NA,41.64478143828142,NA,532.7967252065971,0.114375,-0.29061,2.59,38.0927291886196,61.9072708113804,"12 months"
204,"Balb/C","-","F","tp1",808.241047676155,1142.3383500106,NA,686.26825500524,16.9899880466288,NA,1315.241557,5.73992,0.168071,2.26,100,0,"1 month"
204,"Balb/C","-","F","tp2",738.6748529969218,NA,1195.67428899757,773.0595966943904,NA,5525.904631293736,NA,0.998049,-0.46939,6.67,34.003656307129795,65.9963436928702,"6 months"
204,"Balb/C","-","F","tp3",NA,958.0904205859011,NA,NA,20.158076737164773,NA,989.8344632542295,-0.11493,1.02145,33.96,100,0,"12 months"
205,"Balb/C","-","F","tp1",625.275813667905,1052.27299163254,1002.4670704947156,597.9640794814047,12.4929981763091,5058.120124337259,1158.578842,5.49663,0.731407,14.19,100,0,"1 month"
205,"Balb/C","-","F","tp2",1378.1376171443806,NA,948.507016923562,821.9540319722655,NA,7809.105746699227,NA,1.50872,0.968794,1.15,90.32258064516128,9.67741935483871,"6 months"
205,"Balb/C","-","F","tp3",NA,1277.2263157127445,NA,NA,9.669875978586425,NA,3806.64803906513,1.27501,0.190322,15.15,52.368064952638704,47.631935047361296,"12 months"
206,"Balb/C","-","F","tp1",441.60498443871103,815.177893709367,1353.34410802731,420.77548082708205,23.685792500734,4847.97852233467,491.7334791,NA,NA,0,100,0,"1 month"
206,"Balb/C","-","F","tp2",844.2326873132872,NA,782.6007716779,629.8170026871632,NA,4501.379846583349,NA,-0.507532,-0.102732,5.7,NA,NA,"6 months"
206,"Balb/C","-","F","tp3",NA,1132.450188535408,NA,NA,20.641463275059884,NA,1414.275610108601,2.31272,1.21074,44.52,NA,NA,"12 months"
207,"Balb/C","-","F","tp1",504.886014525436,1063.04447450731,1331.7338131384354,557.9388759854124,18.3514027680101,5820.321244191293,903.4746414,5.70971,-0.92815,20.89,100,0,"1 month"
207,"Balb/C","-","F","tp2",407.90012858872,NA,936.655660521696,479.1320722747454,NA,4781.760547908901,NA,0.740933,0.436651,40.37,92.69841269841267,7.301587301587302,"6 months"
207,"Balb/C","-","F","tp3",NA,595.420106063173,NA,NA,17.52773039379638,NA,1092.3366258898966,1.54937,1.43254,0,2.066115702479339,97.93388429752065,"12 months"
216,"Balb/C","+","F","tp1",413.632632314732,968.076022636194,1054.2024103681792,514.7983222705584,25.8041060314448,4123.159851723707,1087.187611,5.41232,0.500064,16.26,28.7146529562982,71.2853470437018,"1 month"
216,"Balb/C","+","F","tp2",659.586916270186,NA,1041.06346018171,366.50775561382113,NA,6349.860384885177,NA,0.0449064,-0.0677128,47.15,NA,NA,"6 months"
216,"Balb/C","+","F","tp3",NA,1326.146125353695,NA,NA,23.871265450488863,NA,3113.018819801753,-0.387322,-0.825915,9,53.48913759052007,46.51086240947992,"12 months"
217,"Balb/C","+","F","tp1",536.130974670293,590.001425298057,1122.8421184923836,736.4436571587194,23.1401694515716,3458.118836599372,687.320124,5.94107,2.03038,58.19,100,0,"1 month"
217,"Balb/C","+","F","tp2",886.031280524178,NA,1020.44319543767,612.6857949535736,NA,6508.099303353323,NA,-0.791527,1.21421,14.33,100,0,"6 months"
217,"Balb/C","+","F","tp3",NA,932.827313190744,NA,NA,16.44883973330177,NA,892.8679137717085,0.896468,-0.24627,3.89,86.60245183887916,13.39754816112084,"12 months"
218,"Balb/C","+","F","tp1",463.895370397023,1182.92177050296,1203.937421154891,633.4764794695377,14.4237129709515,4389.129836472814,1099.744973,5.35745,0.354142,21.56,18.591442635365397,81.40855736463459,"1 month"
218,"Balb/C","+","F","tp2",518.8676196212667,NA,975.257111338471,346.56760052299876,NA,3789.4260225475296,NA,0.877633,-0.385109,5.7,NA,NA,"6 months"
218,"Balb/C","+","F","tp3",NA,1168.4890734727257,NA,NA,39.49235982670288,NA,3626.741014582964,1.25593,0.0601699,43.63,18.372093023255808,81.62790697674417,"12 months"
219,"Balb/C","+","F","tp1",621.1869100962,931.244189869099,1143.8637973862344,564.4129088108511,10.3771719590554,3407.422944081387,625.3507249,5.22958,1.67122,58.85,65.43452615021629,34.565473849783714,"1 month"
219,"Balb/C","+","F","tp2",602.4104912998396,NA,1176.68400748021,411.91031015296977,NA,4980.91958993191,NA,0.707029,-0.0851546,2,15.99592460519613,84.00407539480386,"6 months"
219,"Balb/C","+","F","tp3",NA,1540.4597183943604,NA,NA,52.814537750529645,NA,7629.330483529257,NA,NA,2.04,5.4829339143064635,94.51706608569354,"12 months"
